Name,Current price,Change(%),Open,High,Low,Volume
PELOTON INTERACTIVE INC.,3.15,12.48,3.26,3.29,3.15,11180845
KINTARA THERAPEUTICS INC.,0.168,7.01,0.168,0.17,0.1508,10867329
STARBUCKS CORP.,78.87,0.72,78.5,79.22,78.11,10746166
CHEETAH NET SUPPLY CHAIN SERVICE,0.8833,114.24,0.985,1.08,0.8656,10652120
WALGREENS BOOTS ALLIANCE INC.,16.03,0.5,16.05,16.22,15.98,10555516
COINBASE GLOBAL INC.,237.65,8.59,221.0,237.79,220.05,10249246
TILRAY BRANDS INC.,1.85,1.09,1.85,1.88,1.83,10217002
NLS PHARMACEUTICS,0.174,0.35,0.177,0.2399,0.1606,10036595
MARVELL TECHNOLOGY INC.,76.68,2.21,75.9,77.97,75.26,9353678
ARRAY TECHNOLOGIES INC.,13.59,6.25,12.94,14.04,12.83,9222800
SUMMIT THERAPEUTICS INC.,3.38,121.76,3.51,3.95,3.2,9177875
CORE SCIENTIFIC INC.,4.82,15.59,4.19,4.82,4.1,8940178
HUNTINGTON BANCSHARES INC.,13.74,1.18,13.64,13.74,13.6,8929129
AGNC INVESTMENT,9.64,0.84,9.63,9.66,9.59,8867011
CSX CORP.,33.78,0.84,33.59,33.82,33.51,8854602
FIRST SOLAR INC.,276.74,10.78,253.88,278.8,251.0,8773170
PACIFIC BIOSCIENCES OF CALIFORNIA,1.87,13.61,1.98,2.03,1.86,8742353
TERAWULF INC.,2.07,4.02,2.0,2.1,1.96,8708830
VERB TECHNOLOGY CO.,0.1475,5.21,0.1411,0.1503,0.1326,8649606
LI AUTO INC. ADS,20.31,3.73,20.01,20.63,20.01,8603735
PAYPAL HOLDINGS INC.,61.64,0.1,61.95,62.06,61.27,8176776
SHOALS TECHNOLOGIES GROUP INC.,8.05,5.64,7.7,8.13,7.7,8019636
EBAY INC.,54.41,3.03,53.0,54.59,53.0,7773908
AURORA INNOVATION INC.,2.46,14.65,2.59,2.61,2.44,7773829
ROSS STORES INC.,142.13,7.79,141.86,145.18,140.88,7641385
SUNPOWER CORP.,2.92,5.04,2.81,2.97,2.76,7558559
XP INC.,18.68,1.14,18.52,19.06,18.46,7517031
SRIVARU HOLDING LTD.,0.2154,6.9,0.178,0.225,0.1505,7480384
AEYE INC.,3.48,24.73,2.74,3.81,2.63,7377869
BILIBILI INC. ADS,13.94,1.46,13.81,14.39,13.77,7334488
OPENDOOR TECHNOLOGIES INC,2.13,0.47,2.14,2.19,2.11,7334074
ZOOM VIDEO COMMUNICATIONS INC.,63.01,0.95,62.17,63.45,62.17,7322418
DRAFTKINGS INC.,40.81,0.52,40.95,41.65,40.55,7234257
MONSTER BEVERAGE,52.7,0.11,52.8,53.03,52.67,7137661
GERON CORP.,3.48,10.29,3.53,3.54,3.44,6997101
23ANDME HOLDING CO.,0.5131,0.71,0.5284,0.5948,0.5121,6941824
MERUS N.V.,59.99,36.12,52.6,61.61,52.34,6908179
SUPER MICRO COMPUTER INC.,883.88,4.31,858.0,899.2,838.61,6850442
PARAMOUNT GLOBAL,11.96,1.44,11.86,11.98,11.73,6795909
STONECO LTD.,14.29,0.0,14.47,14.81,14.22,6770194
CIPHER MINING INC.,4.09,4.87,3.95,4.23,3.83,6700438
ARDELYX INC.,6.75,19.27,7.33,7.36,6.63,6583950
AST SPACEMOBILE INC.,4.74,14.49,4.18,4.75,4.15,6523509
IOVANCE BIOTHERAPEUTICS INC.,10.01,12.44,10.87,10.88,9.85,6517044
MARQETA INC.,5.38,3.66,5.29,5.45,5.2,6420737
BANZAI INTERNATIONAL INC.,0.1915,12.98,0.1715,0.235,0.165,6167117
MUSTANG BIO INC.,0.2099,13.27,0.2085,0.2295,0.1999,6113611
FLUENCE ENERGY INC.,23.25,15.04,20.39,23.88,20.21,6097267
CYTOKINETICS INC.,48.3,11.39,49.14,49.15,47.38,6047206
EXACT SCIENCES CORP.,49.84,17.84,51.0,53.99,49.65,6014957
GUARDANT HEALTH INC.,25.52,13.37,26.22,26.36,23.34,6013312
GILEAD SCIENCES INC.,65.68,10.74,66.38,66.43,65.21,5971044
ENOVIX CORP.,10.81,12.49,9.74,10.85,9.61,5888976
BLUE STAR FOODS,2.84,13.15,2.95,3.68,2.51,5840745
BIT DIGITAL INC. ORD.,2.52,5.88,2.43,2.6,2.39,5778220
CLOVER HEALTH INVESTMENTS,1.0,1.01,0.99,1.02,0.94,5757042
THE KRAFT HEINZ CO.,35.85,0.14,35.86,36.17,35.66,5700622
NUWELLIS INC.,0.2492,13.27,0.2223,0.275,0.2201,5593594
LYFT INC.,15.64,1.36,15.68,15.94,15.56,5559985
ENPHASE ENERGY INC.,125.18,6.54,118.9,127.52,118.14,5484431
IQIYI INC. ADS,4.78,0.21,4.77,4.84,4.76,5428001
ETSY INC.,60.62,12.35,62.33,62.56,60.2,5389052
NEXTRACKER INC.,56.77,10.62,52.27,56.94,51.24,5365055
HERTZ GLOBAL HOLDINGS INC,4.78,0.0,4.77,4.88,4.68,5235020
KEURIG DR PEPPER INC.,34.19,0.62,34.04,34.41,34.04,5208534
MICROCHIP TECHNOLOGY INC.,98.23,0.09,100.03,100.57,98.16,5206172
CANDEL THERAPEUTICS INC.,7.8,127.03,9.47,10.46,7.53,5194693
APPLIED UV INC.,0.32,133.33,0.5,0.5,0.1755,5179152
ON SEMICONDUCTOR,72.56,1.27,72.46,73.23,71.82,5172367
CAESARS ENTERTAINMENT INC.,33.63,3.38,32.7,33.9,32.69,5159535
ROCKET LAB USA INC.,4.21,10.24,4.25,4.27,4.18,5153828
IMMUNOCORE HLD.,46.05,14.02,45.0,46.88,41.01,5140250
CANOPY GROWTH CORP.,9.18,0.77,9.17,9.65,9.01,5071906
MODERNA INC.,166.61,1.59,163.68,170.47,162.0,5052591
APPLOVIN CORP.,82.15,3.65,79.43,82.28,78.38,5051632
LUXURBAN HOTELS INC.,0.364,21.45,0.3192,0.395,0.315,5033754
ESPERION THERAPEUTICS INC.,2.13,15.33,2.25,2.27,2.11,4994789
CNS PHARMACEUTICALS INC.,0.2095,12.65,0.2152,0.3188,0.2008,4942374
VIATRIS INC.,10.41,11.14,10.54,10.63,10.39,4900638
FLEX,33.17,3.08,32.44,33.33,32.37,4832978
MOBILEYE GLOBAL INC.,25.66,16.89,27.55,27.72,25.61,4751345
ARM HOLDINGS PLC ADS,114.64,1.88,112.77,115.56,111.6,4735978
PALO ALTO NETWORKS INC.,321.6,3.26,311.5,323.11,311.0,4714975
BAKER HUGHES COMPANY,32.37,1.76,32.0,32.43,31.83,4698650
ANALOG DEVICES INC.,232.51,10.87,236.33,238.32,232.2,4544312
AIRBNB INC.,144.47,2.43,142.5,145.97,142.3,4497760
SMART FOR LIFE INC.,3.07,10.83,3.34,4.09,2.9,4391898
TEXAS INSTRUMENTS INC.,199.18,0.96,198.83,199.77,197.75,4354367
ALPINE IMMUNE SCIENCES INC.,64.97,0.0,64.98,65.0,64.97,4288333
SNAP ONE HOLDINGS,10.7,1.04,10.6,10.71,10.6,4276052
INTUIT INC.,606.99,18.35,621.0,624.0,600.48,4252637
WW INTERNATIONAL INC.,1.52,13.8,1.62,1.64,1.5,4209813
EXELON CORP.,36.69,10.92,37.0,37.11,36.65,4187738
PATTERSON-UTI ENERGY INC.,10.8,0.56,10.83,10.9,10.69,4103903
CCC INTELLIGENT SOLUTIONS HLD.,11.98,2.66,11.64,12.06,11.63,4087742
MAGNITE INC.,12.57,13.55,12.02,12.76,11.81,4061424
LUMINAR TECHNOLOGIES INC.,1.59,4.61,1.53,1.59,1.51,4038304
APA CORP.,29.36,10.54,29.74,29.94,29.34,3933550
ROIVANT SCIENCES,10.98,0.37,10.94,11.08,10.9,3926021
GEN DIGITAL INC.,24.89,0.89,24.7,24.95,24.64,3869388
PENN ENTERTAINMENT INC.,16.03,3.82,15.51,16.09,15.47,3863422
MATCH GROUP INC.,29.4,10.27,29.6,29.69,29.17,3809500
APPLIED MATERIALS INC.,220.89,1.35,220.2,223.12,218.64,3795707
MONDELEZ INTERNATIONAL INC.,68.3,10.8,68.71,69.28,68.24,3723574
T-MOBILE US INC.,166.0,0.62,165.21,166.2,164.76,3722101
AFFIRM HOLDINGS INC.,30.03,1.18,29.87,30.47,29.5,3715362
OCUGEN INC.,1.75,11.69,1.78,1.82,1.71,3667229
GLOBALFOUNDRIES INC. ORD.,50.75,0.51,50.81,50.92,50.49,3655328
SCWORX CORP.,1.98,5.32,2.57,3.07,1.75,3615875
MINGZHU LOGISTICS HLD.,0.354,10.14,0.3458,0.3676,0.3451,3590505
MGO GLOBAL INC.,0.593,117.76,0.67,0.71,0.568,3577940
MAPLEBEAR INC.,32.37,10.71,32.8,32.82,31.73,3575835
ASTRAZENECA PLC ADS,78.54,0.46,78.13,78.89,78.08,3566580
CARROLS RESTAURANT GROUP INC.,9.54,0.0,9.55,9.56,9.54,3523490
DROPBOX INC.,22.89,11.21,23.12,23.19,22.76,3500333
UNITED AIRLINES HLD.,51.73,10.06,51.91,52.3,51.26,3489525
PRESTO AUTOMATION INC.,0.1455,112.98,0.17,0.1786,0.1393,3480345
PEPSICO INC.,177.99,10.71,179.37,179.42,177.87,3447399
LIFESTANCE HEALTH GROUP INC.,5.7,11.72,5.89,6.0,5.67,3420910
VODAFONE GROUP PLC ADS,9.33,10.32,9.37,9.4,9.31,3420551
RECURSION PHARMACEUTICALS INC.,9.16,1.44,9.1,9.31,8.97,3414274
HOST HOTELS & RESORTS INC.,18.3,0.83,18.28,18.41,18.17,3388757
APPLIED DIGITAL,4.61,8.47,4.21,4.67,4.19,3386350
REDFIN CORP.,6.01,13.22,6.28,6.3,5.98,3354189
GENELUX CORP.,2.62,143.04,3.49,3.49,2.51,3320017
BLUEBIRD BIO INC.,0.9664,10.29,0.9692,0.9974,0.946,3300354
MELCO RESORTS & ENTERTAINMENT,7.98,12.92,8.19,8.24,7.96,3291271
NETEASE INC. ADS,90.48,14.5,91.96,92.19,90.0,3286979
DLOCAL LTD.,9.56,2.25,9.42,9.76,9.33,3273848
BGC GROUP INC.,8.66,2.49,8.54,8.75,8.54,3234477
MATTEL INC.,17.58,0.29,17.65,17.69,17.39,3231058
CANAAN INC. ADS,1.05,2.94,1.02,1.06,1.0,3226366
AMICUS THERAPEUTICS INC.,9.66,2.01,9.45,9.69,9.42,3165807
IHEARTMEDIA INC.,0.87,13.97,0.93,0.9379,0.815,3161773
RIGETTI COMPUTING INC.,1.07,0.94,1.08,1.11,1.04,3143326
BIOATLA INC.,1.71,118.57,2.16,2.16,1.37,3135927
ZOOMINFO TECHNOLOGIES INC.,12.95,1.01,12.88,13.01,12.78,3134269
AMERICAN ELECTRIC POWER CO.,88.97,10.35,89.48,89.8,88.84,3123525
COMMSCOPE HOLDING CO.,1.16,17.2,1.25,1.3,1.15,3106206
ADOBE INC.,475.43,11.63,481.25,485.38,473.9,3085605
EOS ENERGY ENTERPRISES INC.,0.7093,2.2,0.7,0.7198,0.69,3065280
VIASAT INC.,16.03,9.12,14.82,16.27,14.74,3056308
KANZHUN LTD.,21.21,11.07,21.65,21.65,20.9,3031588
MICROVAST HOLDINGS INC.,0.35,17.58,0.3778,0.3812,0.3467,2977180
SNDL INC.,2.22,1.83,2.21,2.28,2.2,2935959
BLINK CHARGING CO.,3.19,2.24,3.15,3.19,3.07,2932325
ERASCA INC.,2.63,1.54,2.59,2.74,2.56,2927939
TRIP.COM GROUP LTD.,52.75,1.52,52.06,53.13,52.06,2920676
LYRA THERAPEUTICS INC.,0.3255,10.18,0.3276,0.33,0.31,2900474
AMPLITUDE INC.,9.75,3.39,9.44,9.76,9.44,2865932
DOORDASH INC.,112.83,2.21,111.15,113.36,110.81,2850002
VINFAST AUTO,4.9,4.26,4.76,5.2,4.71,2842932
TONIX PHARMACEUTICALS HOLDING,0.1755,0.57,0.18,0.1859,0.1601,2820945
WENDY S CO.,17.77,10.06,17.78,17.91,17.73,2813130
MATTERPORT INC.,4.42,0.0,4.41,4.44,4.36,2798407
CXAPP INC.,2.88,112.73,3.16,3.19,2.76,2775652
LESLIE S INC.,5.11,1.79,5.09,5.22,5.02,2765922
VALLEY NATIONAL BANCORP,7.36,0.14,7.4,7.42,7.27,2755147
FASTENAL COMPANY,66.02,0.33,65.92,66.27,65.49,2752624
WESTERN DIGITAL,74.81,0.88,74.75,75.48,74.0,2743577
PARANOVUS ENTERTAINMENT TECHNOLOGY,1.0,12.36,1.15,1.21,0.72,2736777
ISPECIMEN INC.,0.3079,7.66,0.272,0.3193,0.2698,2728663
BUZZFEED INC.,2.8,6.06,2.73,2.98,2.6,2695078
INTER & CO. INC.,6.53,0.77,6.49,6.66,6.49,2693141
CONSTELLATION ENERGY,230.63,4.28,223.31,236.3,221.64,2672030
CROWDSTRIKE HOLDINGS INC.,351.47,2.66,342.67,355.75,340.81,2669970
BAIDU INC. ADS,100.28,11.13,101.23,101.45,100.05,2661775
SABRE CORP.,3.08,3.36,2.98,3.09,2.97,2654094
FORTINET INC.,61.35,0.69,61.11,61.76,60.68,2653983
COPART INC.,54.02,0.93,53.52,54.27,53.23,2632294
NETFLIX INC.,646.75,1.74,639.4,652.0,637.6,2615260
BUMBLE INC.,11.47,0.26,11.53,11.56,11.36,2604203
UPSTART HOLDINGS INC.,23.35,0.82,23.35,23.69,23.07,2572374
CEMTREX INC.,0.3605,2.59,0.3466,0.375,0.34,2551092
NEWELL BRANDS INC.,7.86,0.13,7.96,7.96,7.82,2531794
VOLCON INC.,0.1964,14.8,0.213,0.213,0.19,2514239
NEW FORTRESS ENERGY INC.,25.13,10.48,25.25,25.64,24.79,2496801
CONFLUENT INC.,30.15,12.74,30.92,31.22,30.08,2488989
FRESHWORKS INC.,13.24,10.38,13.23,13.39,13.14,2482326
BEYOND MEAT INC.,7.17,10.42,7.18,7.74,7.12,2472890
OBLONG INC.,0.176,1.27,0.1702,0.1863,0.1513,2465338
ADTHEORENT HOLDING CO.,3.18,0.0,3.19,3.19,3.17,2461174
PACCAR INC.,109.43,0.51,109.72,110.6,109.18,2458753
INSMED INC.,22.0,16.78,23.66,23.76,21.92,2456739
VIRIOS THERAPEUTICS INC.,0.2094,16.98,0.174,0.215,0.1731,2456683
MANGOCEUTICALS INC.,0.4112,120.92,0.4717,0.5,0.4014,2454378
ALLBIRDS INC.,0.6286,1.13,0.6304,0.6503,0.5975,2438236
AMGEN INC.,305.84,10.22,306.42,307.5,303.9,2425864
CELLEBRITE DI,11.1,16.57,12.0,12.0,10.94,2410765
LIBERTY GLOBAL LTD.,16.65,1.03,16.47,16.69,16.36,2400753
CERENCE INC.,3.21,18.55,3.52,3.54,3.16,2386813
SSR MINING INC.,5.43,1.88,5.43,5.48,5.36,2370865
CREDO TECHNOLOGY GROUP HOLDING LTD,19.97,4.55,19.31,20.15,19.13,2364751
HONEYWELL INTERNATIONAL INC.,199.69,0.15,200.35,200.81,199.19,2360667
60 DEGREES PHARMACEUTICALS,0.3149,10.26,0.295,0.3415,0.2801,2352318
OPKO HEALTH INC.,1.36,6.25,1.3,1.36,1.28,2345016
ADMA BIOLOGICS INC,9.56,0.95,9.55,9.74,9.44,2322913
LULULEMON ATHLETICA INC.,303.01,1.09,301.53,306.92,299.74,2284014
HOOKIPA PHARMA INC.,0.8,123.08,1.03,1.03,0.79,2279574
DEXCOM INC.,127.37,1.41,125.82,128.24,124.54,2275564
MICROVISION INC.,1.15,3.6,1.12,1.17,1.12,2274320
TRANSCODE THERAPEUTICS INC.,1.79,28.78,1.45,1.83,1.42,2245498
EVGO INC.,2.14,1.9,2.11,2.16,2.09,2244708
BETTER HOME & FINANCE HOLDING CO.,0.318,113.35,0.369,0.3799,0.3003,2241164
OLAPLEX HOLDINGS INC.,1.57,8.28,1.47,1.63,1.43,2192469
DATADOG INC.,123.6,1.21,121.77,125.38,121.0,2183231
CELSIUS HOLDINGS INC.,95.15,3.75,92.4,95.36,91.77,2177691
IMMATICS N.V.,11.7,19.14,9.85,11.83,9.82,2174451
SOLID POWER INC.,1.78,8.54,1.67,1.79,1.66,2167993
STAR BULK CARRIERS,26.99,3.45,26.51,27.4,26.49,2167870
AGBA GROUP HOLDING,2.65,22.12,2.25,2.69,2.22,2161799
UNITI GROUP INC.,3.24,10.61,3.3,3.33,3.2,2157195
BIOCRYST PHARMACEUTICALS INC.,6.13,13.16,6.38,6.45,6.11,2147600
C.H. ROBINSON WORLDWIDE INC.,86.72,2.51,84.79,86.85,84.79,2141602
TERADYNE INC.,144.01,2.68,141.19,145.01,141.19,2134235
IDEAYA BIOSCIENCES INC.,37.71,11.92,38.7,40.4,37.44,2126872
VIKING THERAPEUTICS INC.,62.75,1.92,62.2,64.24,61.43,2124779
GOLDEN OCEAN GROUP,14.5,3.28,14.38,14.6,14.37,2098400
SOLAREDGE TECHNOLOGIES INC.,48.02,1.72,47.6,49.74,47.25,2090962
NEWS CORP.,26.74,3.32,25.98,26.8,25.88,2080322
LEXICON PHARMACEUTICALS INC.,1.62,0.62,1.63,1.64,1.59,2069736
HUT 8 CORP.,9.28,4.74,8.92,9.46,8.78,2045927
FOX CORP.,33.61,1.94,33.16,33.63,33.06,2045432
ROKU INC.,56.76,1.0,56.42,56.95,56.26,2035601
BIOMARIN PHARMACEUTICAL INC.,75.52,10.5,75.77,75.96,75.12,2028948
APPLIED OPTOELECTRONICS INC.,12.54,5.38,12.0,13.04,11.79,2027481
TRUMP MEDIA & TECHNOLOGY GROUP,45.81,4.33,44.0,46.07,44.0,2025484
XCEL ENERGY INC.,53.72,10.61,54.06,54.19,53.65,2016201
SONOMA PHARMACEUTICALS INC.,0.1973,4.39,0.186,0.215,0.18,2006414
INFINERA CORP.,5.46,6.85,5.16,5.49,5.16,2000462
THE TRADE DESK INC.,94.75,2.42,93.24,95.3,92.61,2000214
BRIACELL THERAPEUTICS,1.44,0.7,1.47,1.49,1.27,1979386
H WORLD GROUP LTD.,36.43,1.05,35.91,36.86,35.75,1974658
INCYTE CORP.,57.31,10.24,57.56,57.78,57.19,1966856
BIOLASE INC.,0.1656,0.67,0.169,0.1748,0.16,1966852
NAAS TECHNOLOGY INC. ADS,0.4239,20.43,0.3634,0.4303,0.352,1941225
KRONOS BIO INC.,0.7557,122.09,0.9466,0.9466,0.69,1937326
ARES CAPITAL CORP.,21.35,0.71,21.21,21.35,21.21,1933749
ATLASSIAN CORP.,168.86,13.05,172.95,173.6,168.71,1928281
MONRO INC.,23.51,2.71,23.12,24.05,23.12,1922510
IMMUNITYBIO INC.,6.52,12.4,6.68,6.76,6.36,1917071
KORU MEDICAL SYSTEMS INC.,2.2,0.46,2.2,2.25,2.16,1917048
BYND CANNASOFT ENTERPRISES,0.8853,112.35,1.0,1.02,0.8701,1913770
IRONWOOD PHARMACEUTICALS INC.,5.95,11.82,6.12,6.14,5.85,1913464
GEVO INC.,0.6904,3.23,0.6882,0.707,0.675,1909261
GIGACLOUD TECHNOLOGY INC,32.55,0.62,32.53,33.82,32.13,1906981
DENTSPLY SIRONA INC.,27.46,10.22,27.48,27.7,27.43,1900800
TAYSHA GENE THERAPIES INC.,3.24,9.46,2.94,3.27,2.93,1900709
COLUMBIA BANKING SYSTEM INC.,18.82,10.16,18.99,19.03,18.66,1897392
KAIXIN HOLDINGS,0.1538,10.13,0.155,0.166,0.1501,1895493
ALKERMES PLC,24.02,0.08,23.98,24.25,23.96,1868835
VISIONARY HOLDINGS INC.,0.2,110.75,0.25,0.25,0.1866,1867613
COGNIZANT TECHNOLOGY SOLUTIONS,68.32,10.22,68.47,68.91,68.25,1860102
ALLARITY THERAPEUTICS INC.,0.5758,13.99,0.6,0.6014,0.561,1858352
OLD DOMINION FREIGHT LINE INC.,173.06,0.87,172.33,173.96,170.96,1852339
FIFTH THIRD BANCORP,37.25,1.17,36.99,37.25,36.93,1852233
STANDARD BIOTOOLS INC.,2.54,12.68,2.58,2.64,2.54,1848206
HIVE DIGITAL TECHNOLOGIES LTD,2.63,5.62,2.5,2.64,2.47,1821175
LIBERTY MEDIA CORP.,22.46,1.31,22.21,22.46,21.97,1818972
CITIUS PHARMACEUTICALS INC.,0.66,13.54,0.6721,0.7,0.65,1817283
ZILLOW GROUP INC.,39.67,10.53,40.15,40.58,39.63,1814816
FORWARD AIR CORP.,12.33,11.36,12.61,12.92,11.94,1800364
INDIE SEMICONDUCTOR INC.,6.44,3.87,6.27,6.63,6.22,1786154
CANOO INC.,2.46,4.24,2.44,2.48,2.35,1784587
CUREVAC N.V.,3.69,17.05,4.03,4.03,3.67,1783519
GOPRO INC.,1.54,3.36,1.49,1.56,1.48,1781100
INTERACTIVE STRENGTH INC.,0.203,13.41,0.176,0.2094,0.1731,1772625
INTEGRAL AD SCIENCE HOLDING,9.79,0.93,9.73,9.93,9.68,1763928
GOLUB CAPITAL BDC,16.25,0.87,16.18,16.32,16.15,1758097
ALLOGENE THERAPEUTICS INC.,2.52,10.79,2.53,2.59,2.46,1747944
IROBOT CORP.,9.93,3.12,9.64,10.08,9.52,1747087
GRITSTONE BIO INC.,0.8016,12.52,0.8206,0.8472,0.7801,1735845
DOMO INC.,6.97,12.24,6.15,7.43,6.11,1729397
ROYALTY PHARMA PLC,26.62,10.86,26.79,26.93,26.46,1727314
CANADIAN SOLAR INC.,18.2,3.06,17.67,18.57,17.51,1722919
PAYONEER GLOBAL INC.,6.03,2.2,5.93,6.08,5.93,1720668
TRIPADVISOR INC.,17.89,0.68,17.88,18.01,17.71,1716309
ALTIMMUNE INC.,7.33,10.81,7.41,7.48,7.2,1715778
MACROGENICS INC.,4.55,11.73,4.63,4.85,4.49,1709049
HELLO GROUP INC. ADS,5.52,10.18,5.52,5.57,5.47,1708688
LEGALZOOM.COM INC.,8.59,1.18,8.53,8.76,8.43,1708287
SKYWORKS SOLUTIONS INC.,92.16,1.04,92.15,92.48,91.38,1705901
HASHICORP INC.,33.39,0.36,33.32,33.41,33.22,1705876
ARCUTIS BIOTHERAPEUTICS INC.,9.16,0.88,9.17,9.35,8.95,1705275
EXELIXIS INC.,20.57,0.78,20.48,20.7,20.43,1704028
LIBERTY GLOBAL LTD.,16.24,0.5,16.17,16.39,16.05,1698165
